,phrase,label,sentiment,subjectivity,language,count
Gaskrise,Gaskrise,MISC,0.5666666666666667,0.3333333333333333,de,9
Wirtschaftsministerium,Wirtschaftsministerium,MISC,,,de,9
Gaspreisbremse,Gaspreisbremse,MISC,0.016666666666666666,0.0,de,8
LNG-Terminal,LNG-Terminal,MISC,,,de,8
Krieg,Krieg,MISC,,,de,8
Wochenmitte,Wochenmitte,MISC,,,de,7
BILD,BILD,MISC,,,de,7
Blackout,Blackout,MISC,-0.19999999999999996,0.0,de,7
Deutschen,Deutschen,MISC,,,de,7
PLUS-Inhalten,PLUS-Inhalten,MISC,,,de,6
Berliner,Berliner,MISC,,,de,6
österreichische,österreichische,MISC,,,de,6
Weihnachten,Weihnachten,MISC,,,de,6
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,6
ePaper,ePaper,MISC,,,de,5
deutscher,deutscher,MISC,,,de,5
Wetterlage im Ticker,Wetterlage im Ticker,MISC,,,de,5
Werbeerlösen,Werbeerlösen,MISC,,,de,5
Deutscher,Deutscher,MISC,,,de,5
"Print-Magazin
werbefrei &amp;","Print-Magazin
werbefrei &amp;",MISC,,,de,5
Russlands Krieg,Russlands Krieg,MISC,,,de,4
Hamburger,Hamburger,MISC,,,de,4
Internet,Internet,MISC,,,de,4
LNG-Terminals,LNG-Terminals,MISC,0.7,0.0,de,4
niederländisches,niederländisches,MISC,,,de,4
Gasfüllstand.,Gasfüllstand.,MISC,,,de,4
RT DE.,RT DE.,MISC,,,de,4
Blackout in,Blackout in,MISC,,,de,4
Queen,Queen,MISC,,,de,4
Strompreis,Strompreis,MISC,,,de,4
italienischen,italienischen,MISC,,,de,3
Aldi,Aldi,MISC,0.7,0.0,de,3
Youtube,Youtube,MISC,,,de,3
Homeoffice,Homeoffice,MISC,,,de,3
sozialen,sozialen,MISC,,,de,3
türkischen,türkischen,MISC,,,de,3
Homeoffice.,Homeoffice.,MISC,,,de,3
norditalienische,norditalienische,MISC,,,de,3
Gazprom-Tochter.,Gazprom-Tochter.,MISC,,,de,3
Fußball-WM,Fußball-WM,MISC,,,de,3
französischen,französischen,MISC,,,de,3
De'Longhi,De'Longhi,MISC,,,de,3
britische,britische,MISC,,,de,3
Deutschland.,Deutschland.,MISC,-0.05833333333333333,0.0,de,3
Berliner Gasnetz,Berliner Gasnetz,MISC,,,de,3
Berliner Senat,Berliner Senat,MISC,,,de,3
europäischer,europäischer,MISC,,,de,3
russischen Armee,russischen Armee,MISC,,,de,3
polnische,polnische,MISC,,,de,3
F…,F…,MISC,,,de,3
Russischer,Russischer,MISC,,,de,3
Ampel-Koalition,Ampel-Koalition,MISC,,,de,3
Wetterlage im Ticker - Wetterdienst,Wetterlage im Ticker - Wetterdienst,MISC,,,de,3
Tages,Tages,MISC,,,de,3
WM,WM,MISC,,,de,3
diesem Jahr,diesem Jahr,MISC,,,de,3
bayerischen,bayerischen,MISC,,,de,3
sächsische,sächsische,MISC,,,de,3
polnischen,polnischen,MISC,,,de,3
chinesischen,chinesischen,MISC,,,de,3
soziale,soziale,MISC,,,de,3
Informatio…,Informatio…,MISC,,,de,3
Skript,Skript,MISC,,,de,3
Mac,Mac,MISC,,,de,3
Gas,Gas,MISC,,,de,3
News des,News des,MISC,,,de,3
P-Konto,P-Konto,MISC,,,de,2
"Pandemie, die leuchtende Erfindung","Pandemie, die leuchtende Erfindung",MISC,,,de,2
Gaspreis-Kommission,Gaspreis-Kommission,MISC,,,de,2
Ostsee-Gaspipeline,Ostsee-Gaspipeline,MISC,,,de,2
Gestern,Gestern,MISC,,,de,2
Grünen-Delegierten,Grünen-Delegierten,MISC,,,de,2
Gaspreiskommission.,Gaspreiskommission.,MISC,,,de,2
SPD-Landtagsabgeordnete,SPD-Landtagsabgeordnete,MISC,,,de,2
Ende des Jahres,Ende des Jahres,MISC,,,de,2
katarischen,katarischen,MISC,,,de,2
LNG-Schiffe,LNG-Schiffe,MISC,,,de,2
griechische,griechische,MISC,,,de,2
Wirtschaftsminister,Wirtschaftsminister,MISC,-0.7,0.0,de,2
preußische,preußische,MISC,,,de,2
"Teure Gasrechnungen, Angst vor Strom- und","Teure Gasrechnungen, Angst vor Strom- und",MISC,,,de,2
Millionen Heizölkunden,Millionen Heizölkunden,MISC,,,de,2
Schweizer,Schweizer,MISC,,,de,2
De…,De…,MISC,0.0,0.0,de,2
TTF-Kontrakt,TTF-Kontrakt,MISC,,,de,2
Mi­nis­ter­prä­si­den­t,Mi­nis­ter­prä­si­den­t,MISC,,,de,2
Wirt­schafts­ver­tre­te­r,Wirt­schafts­ver­tre­te­r,MISC,,,de,2
Gas-Anbieter,Gas-Anbieter,MISC,,,de,2
Frieden mit Russland,Frieden mit Russland,MISC,,,de,2
deutsch-französische,deutsch-französische,MISC,,,de,2
Blackouts,Blackouts,MISC,0.0,0.0,de,2
"Homeoffice boomte,","Homeoffice boomte,",MISC,,,de,2
Auftrag des EU-Gipfels,Auftrag des EU-Gipfels,MISC,,,de,2
EU-weite,EU-weite,MISC,,,de,2
Strompreis.,Strompreis.,MISC,,,de,2
Frieden,Frieden,MISC,,,de,2
Papierpreis,Papierpreis,MISC,,,de,2
russischen Angriffskrieges,russischen Angriffskrieges,MISC,,,de,2
Chemieverbands VCI.,Chemieverbands VCI.,MISC,,,de,2
Wetter in,Wetter in,MISC,,,de,2
Ukraine.,Ukraine.,MISC,0.7,0.0,de,2
G7-Außenminister,G7-Außenminister,MISC,,,de,2
Mac Washing Machine X9,Mac Washing Machine X9,MISC,,,de,2
Eisbrechers,Eisbrechers,MISC,,,de,2
japanischen,japanischen,MISC,,,de,2
DFB-Pokal,DFB-Pokal,MISC,,,de,2
LNG-Terminals.,LNG-Terminals.,MISC,,,de,2
Winterwelle,Winterwelle,MISC,,,de,2
EB70,EB70,MISC,,,de,2
Vorfreude,Vorfreude,MISC,,,de,2
Blackout-Warnungen,Blackout-Warnungen,MISC,,,de,2
Streife,Streife,MISC,,,de,2
"Der Spalter""","Der Spalter""",MISC,,,de,2
"Nacht When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","Nacht When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,2
Salzwassers,Salzwassers,MISC,,,de,2
… ...,… ...,MISC,,,de,2
Notstromaggregaten.,Notstromaggregaten.,MISC,,,de,2
Corona-Welle,Corona-Welle,MISC,0.0,0.0,de,2
Virus,Virus,MISC,,,de,2
Widerstandsgeist seines Volkes,Widerstandsgeist seines Volkes,MISC,,,de,2
Al-Hol-Camp,Al-Hol-Camp,MISC,,,de,2
russische Invasion,russische Invasion,MISC,,,de,2
kommende Jahr,kommende Jahr,MISC,,,de,2
Liveticker:,Liveticker:,MISC,,,de,2
Mehr im Liveticker.,Mehr im Liveticker.,MISC,,,de,2
iranische,iranische,MISC,,,de,2
Üb…,Üb…,MISC,,,de,2
Wetterlage im Ticker - Regen und Wolken,Wetterlage im Ticker - Regen und Wolken,MISC,,,de,2
Böllerverbote,Böllerverbote,MISC,,,de,2
Pandemie.,Pandemie.,MISC,,,de,2
Bundestag.,Bundestag.,MISC,,,de,2
Spanische,Spanische,MISC,,,de,2
Menschenhandel.,Menschenhandel.,MISC,,,de,2
Ostern,Ostern,MISC,,,de,2
Hartz-IV-Ausgaben,Hartz-IV-Ausgaben,MISC,,,de,2
Wetter: Winter,Wetter: Winter,MISC,,,de,2
weht der Wind,weht der Wind,MISC,,,de,2
Weihnachten: Heizen,Weihnachten: Heizen,MISC,,,de,2
Ukrainekriegs,Ukrainekriegs,MISC,,,de,2
G-20-Gipfel,G-20-Gipfel,MISC,0.0,0.0,de,2
Versorgungssicherheit,Versorgungssicherheit,MISC,,,de,2
Na…,Na…,MISC,,,de,2
Wintersaison.,Wintersaison.,MISC,,,de,2
Leipziger,Leipziger,MISC,,,de,2
Weltklimakonferenz in,Weltklimakonferenz in,MISC,,,de,2
BBK-Chef,BBK-Chef,MISC,,,de,2
Zehn,Zehn,MISC,,,de,2
Weltcup-Auftakt,Weltcup-Auftakt,MISC,,,de,2
Der Winter,Der Winter,MISC,,,de,2
iranischen,iranischen,MISC,,,de,2
Winter?,Winter?,MISC,,,de,2
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,2
Gasverbrauchs.,Gasverbrauchs.,MISC,,,de,2
Wetter-Nachrichten,Wetter-Nachrichten,MISC,,,de,2
Nöte.,Nöte.,MISC,,,de,2
Gas-Tochter VNG,Gas-Tochter VNG,MISC,,,de,2
Münchner,Münchner,MISC,,,de,2
Britischer,Britischer,MISC,,,de,2
Ampel-Regierung,Ampel-Regierung,MISC,,,de,2
Die Temperaturen,Die Temperaturen,MISC,,,de,2
Einsparziel,Einsparziel,MISC,,,de,2
Zeit der Strom,Zeit der Strom,MISC,,,de,2
Zeit dem Schimmel,Zeit dem Schimmel,MISC,,,de,2
Kreml-Truppen,Kreml-Truppen,MISC,,,de,2
"Maybrit Illner""","Maybrit Illner""",MISC,,,de,2
Ahr-Hochwasser,Ahr-Hochwasser,MISC,,,de,2
Nord-Stream-Gaspipelines,Nord-Stream-Gaspipelines,MISC,,,de,2
rheinland-pfälzische,rheinland-pfälzische,MISC,,,de,2
ostukrainischen,ostukrainischen,MISC,,,de,2
Heizsaison.,Heizsaison.,MISC,,,de,2
Zeit für alle Deutschen.,Zeit für alle Deutschen.,MISC,,,de,2
kroatischen,kroatischen,MISC,,,de,2
Ukrainischer,Ukrainischer,MISC,,,de,2
Ökostrom-Projekte,Ökostrom-Projekte,MISC,,,de,2
hannoversche,hannoversche,MISC,,,de,2
INTERVIEW,INTERVIEW,MISC,,,de,2
Bayern Lob,Bayern Lob,MISC,,,de,2
Wirtschaftsweise Grimm,Wirtschaftsweise Grimm,MISC,,,de,2
Gas sparen:,Gas sparen:,MISC,,,de,2
S…,S…,MISC,,,de,2
Gaskommission.,Gaskommission.,MISC,,,de,2
Ukrainekrieg,Ukrainekrieg,MISC,,,de,2
Gaspreisdeckels,Gaspreisdeckels,MISC,,,de,2
WELT.,WELT.,MISC,,,de,2
Ukraine-Kriegs.,Ukraine-Kriegs.,MISC,,,de,2
Ukraine,Ukraine,MISC,-0.00909090909090909,0.0,de,2
Liveticker: +++,Liveticker: +++,MISC,,,de,2
Russen,Russen,MISC,-0.15000000000000002,0.0,de,2
Gasnetz,Gasnetz,MISC,,,de,2
FritzBox,FritzBox,MISC,,,de,2
Karlsruhe,Karlsruhe,MISC,,,de,2
Ekki,Ekki,MISC,,,de,1
Wärme mit Risiken,Wärme mit Risiken,MISC,,,de,1
Winter: Terminals,Winter: Terminals,MISC,,,de,1
Terminal-Kosten,Terminal-Kosten,MISC,,,de,1
Winter:,Winter:,MISC,,,de,1
Regen aus der Nacht,Regen aus der Nacht,MISC,,,de,1
… lp,… lp,MISC,,,de,1
Russland-Ukraine-Krieg: Das,Russland-Ukraine-Krieg: Das,MISC,,,de,1
PG),PG),MISC,,,de,1
Pnek vellele,Pnek vellele,MISC,,,de,1
Bewerbungsgespräch …,Bewerbungsgespräch …,MISC,,,de,1
Blackout-Angst,Blackout-Angst,MISC,,,de,1
Heizperiode beginnt!,Heizperiode beginnt!,MISC,,,de,1
Dieselaggregaten,Dieselaggregaten,MISC,,,de,1
Winter-Transfers.,Winter-Transfers.,MISC,,,de,1
die kalte Jahreszeit.,die kalte Jahreszeit.,MISC,,,de,1
News,News,MISC,,,de,1
Ein Hygrometer,Ein Hygrometer,MISC,,,de,1
7Arbeiter,7Arbeiter,MISC,,,de,1
Stromausfällen ko…,Stromausfällen ko…,MISC,,,de,1
BBK)  Ralph Tiesler,BBK)  Ralph Tiesler,MISC,,,de,1
a…,a…,MISC,,,de,1
Hochwasser:,Hochwasser:,MISC,,,de,1
Japanern lernen,Japanern lernen,MISC,,,de,1
"Blackout, Lockdown","Blackout, Lockdown",MISC,,,de,1
Ein Jahr nach der Machtübernahme der,Ein Jahr nach der Machtübernahme der,MISC,,,de,1
Wetter Berlin: Woche,Wetter Berlin: Woche,MISC,,,de,1
Kolumbianer.,Kolumbianer.,MISC,,,de,1
inFranken.de.,inFranken.de.,MISC,,,de,1
Hartz-IV-Haushalten,Hartz-IV-Haushalten,MISC,,,de,1
Wintersport?,Wintersport?,MISC,,,de,1
Das Monster,Das Monster,MISC,,,de,1
Monster,Monster,MISC,,,de,1
BILD-Nachfrage:,BILD-Nachfrage:,MISC,,,de,1
Preis für Deutschlands warmen Winter,Preis für Deutschlands warmen Winter,MISC,,,de,1
Absturz,Absturz,MISC,,,de,1
Ukraine-Liveticker:,Ukraine-Liveticker:,MISC,,,de,1
ZDFneo,ZDFneo,MISC,,,de,1
TTF,TTF,MISC,,,de,1
MOSE,MOSE,MISC,,,de,1
Der Mann von der,Der Mann von der,MISC,,,de,1
Petersburger Dialog,Petersburger Dialog,MISC,,,de,1
Krieg in der,Krieg in der,MISC,,,de,1
Liveticker: +++ 03:22,Liveticker: +++ 03:22,MISC,,,de,1
Evolutionär,Evolutionär,MISC,,,de,1
"Zweiten Weltkrieg"" +++","Zweiten Weltkrieg"" +++",MISC,,,de,1
Ukraine?,Ukraine?,MISC,,,de,1
Zweiten Weltkrieg,Zweiten Weltkrieg,MISC,,,de,1
Ostsee-Pipeline Baltic Pipe,Ostsee-Pipeline Baltic Pipe,MISC,,,de,1
Baltic Pipe“,Baltic Pipe“,MISC,,,de,1
Kartoffel-Käse-Püree,Kartoffel-Käse-Püree,MISC,,,de,1
Weltmeisterschaft,Weltmeisterschaft,MISC,,,de,1
ZDF.,ZDF.,MISC,,,de,1
An einen Zufall zu glauben,An einen Zufall zu glauben,MISC,,,de,1
Unwetter in Italien:,Unwetter in Italien:,MISC,,,de,1
Macht das Sinn?,Macht das Sinn?,MISC,,,de,1
WHO: Winter bedroht Leben von,WHO: Winter bedroht Leben von,MISC,,,de,1
Vorfälle?,Vorfälle?,MISC,,,de,1
Ukrainern +++ Laut,Ukrainern +++ Laut,MISC,,,de,1
Fossilen,Fossilen,MISC,,,de,1
Schlachtfeld eines Wertekonflikts,Schlachtfeld eines Wertekonflikts,MISC,,,de,1
Podcast.,Podcast.,MISC,,,de,1
Widersprüche,Widersprüche,MISC,,,de,1
Tipps & Tricks: Sodastream,Tipps & Tricks: Sodastream,MISC,,,de,1
Wetter: Mehrere Unfälle bei Schnee,Wetter: Mehrere Unfälle bei Schnee,MISC,,,de,1
Fußball-WM in Katar,Fußball-WM in Katar,MISC,,,de,1
Fußballweltmeisterschaft 2022,Fußballweltmeisterschaft 2022,MISC,,,de,1
Jahr rasan…,Jahr rasan…,MISC,,,de,1
Fußballweltmeisterschaft,Fußballweltmeisterschaft,MISC,,,de,1
"Winter-WM When browsing with ads:
","Winter-WM When browsing with ads:
",MISC,,,de,1
Gaspipeline-Saboteuren,Gaspipeline-Saboteuren,MISC,,,de,1
Dein Browser,Dein Browser,MISC,,,de,1
Fußball-WM: Kein Blues.,Fußball-WM: Kein Blues.,MISC,,,de,1
fÃ¼hrenden,fÃ¼hrenden,MISC,,,de,1
Versand-Konzern,Versand-Konzern,MISC,,,de,1
Wirtschaftsinstitute,Wirtschaftsinstitute,MISC,,,de,1
Gasspeicher-Füllstand knackt 100-Prozent-Marke.,Gasspeicher-Füllstand knackt 100-Prozent-Marke.,MISC,,,de,1
Die Zeit,Die Zeit,MISC,,,de,1
nächsten Winter,nächsten Winter,MISC,,,de,1
rumänische,rumänische,MISC,,,de,1
OMV-Chef Stern,OMV-Chef Stern,MISC,,,de,1
Süddeutsche Zeitung,Süddeutsche Zeitung,MISC,,,de,1
OMV-Chef Alfred Stern.,OMV-Chef Alfred Stern.,MISC,,,de,1
em>SWR</em>-Recherchen,em>SWR</em>-Recherchen,MISC,,,de,1
Sicherheitsexpert…,Sicherheitsexpert…,MISC,,,de,1
CDU-/CSU-Anfrage,CDU-/CSU-Anfrage,MISC,,,de,1
Solar: Rumänien,Solar: Rumänien,MISC,,,de,1
"Bundesbank, die Finanzaufsichtsbehörde…","Bundesbank, die Finanzaufsichtsbehörde…",MISC,,,de,1
Das Wort,Das Wort,MISC,,,de,1
Treffen von Bund,Treffen von Bund,MISC,,,de,1
News z…,News z…,MISC,,,de,1
EU-Kommission.,EU-Kommission.,MISC,,,de,1
Energiepauschale.,Energiepauschale.,MISC,0.0,0.0,de,1
Thera Fit,Thera Fit,MISC,,,de,1
Krieg Moskaus,Krieg Moskaus,MISC,,,de,1
Weiterlesen),Weiterlesen),MISC,,,de,1
Wettervorhersage: Winter,Wettervorhersage: Winter,MISC,,,de,1
Russland:,Russland:,MISC,,,de,1
Fußball-WM 2022,Fußball-WM 2022,MISC,,,de,1
Erzgebirgskreis,Erzgebirgskreis,MISC,,,de,1
Energiekrise: Europa-Park-Chef,Energiekrise: Europa-Park-Chef,MISC,,,de,1
Gas-Verpuffung,Gas-Verpuffung,MISC,,,de,1
belarussischen,belarussischen,MISC,,,de,1
Neue Daten,Neue Daten,MISC,,,de,1
"Bundesliga: Drei Testspiele, ein Trainingslager","Bundesliga: Drei Testspiele, ein Trainingslager",MISC,,,de,1
Au…,Au…,MISC,,,de,1
Die Nuklearrhetorik des Kremls,Die Nuklearrhetorik des Kremls,MISC,,,de,1
Ventil-Problematik,Ventil-Problematik,MISC,,,de,1
Inspektion auf Grünes,Inspektion auf Grünes,MISC,,,de,1
Christoph HeinDer,Christoph HeinDer,MISC,,,de,1
Im Jahr 2022,Im Jahr 2022,MISC,,,de,1
Vorjahresverbrauch,Vorjahresverbrauch,MISC,,,de,1
Flüssiggas-Terminals.,Flüssiggas-Terminals.,MISC,,,de,1
Winters.,Winters.,MISC,,,de,1
Die plötzlich s…,Die plötzlich s…,MISC,,,de,1
australische,australische,MISC,,,de,1
Auftrag der E-Control.,Auftrag der E-Control.,MISC,,,de,1
Der Ausbau des,Der Ausbau des,MISC,,,de,1
bayerische,bayerische,MISC,,,de,1
Nord-Stream-Explosionen,Nord-Stream-Explosionen,MISC,,,de,1
Streit in,Streit in,MISC,,,de,1
Dreihundert Euro,Dreihundert Euro,MISC,,,de,1
FTTH-Zugänge,FTTH-Zugänge,MISC,,,de,1
"Telekom,","Telekom,",MISC,,,de,1
Die Reaktionen,Die Reaktionen,MISC,,,de,1
LÃ¶sunâ€¦,LÃ¶sunâ€¦,MISC,,,de,1
Kabinett bes…,Kabinett bes…,MISC,,,de,1
Hamburger Winter,Hamburger Winter,MISC,,,de,1
Der Mann hinter dem Gaswunder,Der Mann hinter dem Gaswunder,MISC,,,de,1
Die Betreiber der,Die Betreiber der,MISC,,,de,1
"Horrorhäuser von Rendsburg: Schimmel, Wasserschäden, Aufzug","Horrorhäuser von Rendsburg: Schimmel, Wasserschäden, Aufzug",MISC,,,de,1
Krieg gegen die Ukraine:,Krieg gegen die Ukraine:,MISC,,,de,1
"WELT
</li><li>Energieversorgung:","WELT
</li><li>Energieversorgung:",MISC,,,de,1
Katar.,Katar.,MISC,,,de,1
nÃ¤chste Jahr,nÃ¤chste Jahr,MISC,,,de,1
Blackouts.,Blackouts.,MISC,,,de,1
"Karsto, Norwegen
BRÜSSELtaz |","Karsto, Norwegen
BRÜSSELtaz |",MISC,,,de,1
Whisky-Rausch,Whisky-Rausch,MISC,,,de,1
Flutgebiet,Flutgebiet,MISC,,,de,1
Brennholz-,Brennholz-,MISC,,,de,1
Flüssiggas-Umwandlung,Flüssiggas-Umwandlung,MISC,,,de,1
Neptune,Neptune,MISC,,,de,1
Sel…,Sel…,MISC,,,de,1
Lö…,Lö…,MISC,,,de,1
Gemeinsa…,Gemeinsa…,MISC,,,de,1
Liveticker: +++ 10:08 Erster Schnee,Liveticker: +++ 10:08 Erster Schnee,MISC,,,de,1
Stromkrise,Stromkrise,MISC,,,de,1
"Donnerstag:
","Donnerstag:
",MISC,,,de,1
Gasimporte.,Gasimporte.,MISC,,,de,1
Wochenende.,Wochenende.,MISC,0.0,0.0,de,1
Vorüber…,Vorüber…,MISC,,,de,1
fimfoepsg.Gbttbef.voe.Gfotufs.xfsefo.tbojfsu/iunm# ub,fimfoepsg.Gbttbef.voe.Gfotufs.xfsefo.tbojfsu/iunm# ub,MISC,,,de,1
Liveticker: +++ 15:55 Schnee,Liveticker: +++ 15:55 Schnee,MISC,,,de,1
Stromausfällen +++,Stromausfällen +++,MISC,,,de,1
Wärmefo…,Wärmefo…,MISC,,,de,1
In England,In England,MISC,,,de,1
Tages:,Tages:,MISC,,,de,1
Liveticker: +++ 10:47,Liveticker: +++ 10:47,MISC,,,de,1
Notstand in der Ukraine.,Notstand in der Ukraine.,MISC,,,de,1
G…,G…,MISC,,,de,1
J…,J…,MISC,,,de,1
Übergewinnen.,Übergewinnen.,MISC,,,de,1
Kra…,Kra…,MISC,,,de,1
Energiekosten-Härtefallhilfe,Energiekosten-Härtefallhilfe,MISC,,,de,1
Totaler Stromausfall: Behördliche Tipps zum Blackout.,Totaler Stromausfall: Behördliche Tipps zum Blackout.,MISC,,,de,1
Graues und wechselhaftes Wetter,Graues und wechselhaftes Wetter,MISC,,,de,1
Energiekrise: Jetzt ist Kreativität,Energiekrise: Jetzt ist Kreativität,MISC,,,de,1
Liveticker: +++ 03:47 Heftige Schneefälle,Liveticker: +++ 03:47 Heftige Schneefälle,MISC,,,de,1
Liveticker: +++ 06:59 Steigendes,Liveticker: +++ 06:59 Steigendes,MISC,,,de,1
dänischen,dänischen,MISC,,,de,1
Malakal,Malakal,MISC,,,de,1
Ostseepipeline Nord Stream 1,Ostseepipeline Nord Stream 1,MISC,,,de,1
DfB-Elf,DfB-Elf,MISC,,,de,1
hyper-klimatisierten,hyper-klimatisierten,MISC,,,de,1
Wetterlage im Ticker - Frost und Schnee,Wetterlage im Ticker - Frost und Schnee,MISC,,,de,1
Wetter: Nächste Woche,Wetter: Nächste Woche,MISC,,,de,1
"Hans Otto Theater: Schimmel, Pimmel,","Hans Otto Theater: Schimmel, Pimmel,",MISC,,,de,1
Das Kabinett,Das Kabinett,MISC,,,de,1
UellelplanuapOlu…,UellelplanuapOlu…,MISC,,,de,1
Erdgas.,Erdgas.,MISC,,,de,1
Schlachtfeld.,Schlachtfeld.,MISC,,,de,1
Klima-Union,Klima-Union,MISC,,,de,1
Einfache Pflege:,Einfache Pflege:,MISC,,,de,1
Kreml-Chef,Kreml-Chef,MISC,,,de,1
SPIEGEL-Informationen,SPIEGEL-Informationen,MISC,0.0,0.0,de,1
Gasheizung-Kosten: Welche Heizung,Gasheizung-Kosten: Welche Heizung,MISC,,,de,1
"Standard
","Standard
",MISC,,,de,1
Ampelregierung,Ampelregierung,MISC,0.7,0.0,de,1
Kosten-Hammer,Kosten-Hammer,MISC,,,de,1
Gas-Verteilung,Gas-Verteilung,MISC,,,de,1
CO₂-Abgabe,CO₂-Abgabe,MISC,,,de,1
Jahr bei der Klimaabgabe,Jahr bei der Klimaabgabe,MISC,,,de,1
Ukrainische,Ukrainische,MISC,,,de,1
lO Zulpeu Poeuleup,lO Zulpeu Poeuleup,MISC,,,de,1
ttepplaeO,ttepplaeO,MISC,,,de,1
französische,französische,MISC,,,de,1
Gaskrise in,Gaskrise in,MISC,,,de,1
Winterkrieg,Winterkrieg,MISC,,,de,1
englischen,englischen,MISC,,,de,1
Gas aus Russland:,Gas aus Russland:,MISC,,,de,1
Frankfurter,Frankfurter,MISC,,,de,1
Winter-Blackout,Winter-Blackout,MISC,,,de,1
Corona-Zeit,Corona-Zeit,MISC,,,de,1
Anstatt Öl und Erdgas,Anstatt Öl und Erdgas,MISC,,,de,1
Intensivbetten für Kinder,Intensivbetten für Kinder,MISC,,,de,1
Kinderstation.,Kinderstation.,MISC,,,de,1
EuropeDecoded,EuropeDecoded,MISC,,,de,1
Walk of Freedom,Walk of Freedom,MISC,,,de,1
"Nachrichten kompakt
","Nachrichten kompakt
",MISC,,,de,1
Freitag.,Freitag.,MISC,,,de,1
Hunderte Euro im Jahr,Hunderte Euro im Jahr,MISC,,,de,1
Frankr…,Frankr…,MISC,,,de,1
E-Autos: Angst,E-Autos: Angst,MISC,,,de,1
"Top-Wallbox, Ökostrom","Top-Wallbox, Ökostrom",MISC,,,de,1
Euro UVP,Euro UVP,MISC,,,de,1
Frankreichs Plan für den,Frankreichs Plan für den,MISC,,,de,1
Blackout.,Blackout.,MISC,,,de,1
Energie-Krise: Studie,Energie-Krise: Studie,MISC,,,de,1
Ineos,Ineos,MISC,,,de,1
Beispiellose Infektwelle,Beispiellose Infektwelle,MISC,,,de,1
Männer.,Männer.,MISC,,,de,1
Fest,Fest,MISC,,,de,1
Gutscheincodes YTCXZ7TQ,Gutscheincodes YTCXZ7TQ,MISC,,,de,1
Russlands Armee,Russlands Armee,MISC,,,de,1
"Schlamm, Feuchtigkeit und Kälte","Schlamm, Feuchtigkeit und Kälte",MISC,,,de,1
Winter-Accessoire,Winter-Accessoire,MISC,,,de,1
Kälte aussperren:,Kälte aussperren:,MISC,,,de,1
Shell,Shell,MISC,,,de,1
Getreideausfuhren vor +++ Selenskyj,Getreideausfuhren vor +++ Selenskyj,MISC,,,de,1
G7-Klimaminister,G7-Klimaminister,MISC,,,de,1
norwegische,norwegische,MISC,,,de,1
WM in Katar:,WM in Katar:,MISC,,,de,1
Tag s…,Tag s…,MISC,,,de,1
Gem…,Gem…,MISC,,,de,1
LNG-Gas,LNG-Gas,MISC,,,de,1
Gepard-Panzer,Gepard-Panzer,MISC,,,de,1
ZEIT,ZEIT,MISC,,,de,1
"Morgenüberblick When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","Morgenüberblick When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,1
